date,lat,lon
01/07/2009 4:45,51.52721,0.14559
01/11/2009 12:12,53.3591667,-6.2161111
1/26/09 10:24,49.25,-123.1333333
1/26/09 8:58,51.52721,0.14559
01/07/2009 17:51,39.22,-77.42444
1/18/09 20:16,40.34861,-74.65944
1/13/09 9:51,51.0833333,-114.0833333
1/24/09 18:43,33.76444,-117.79306
01/05/2009 0:46,28.4666667,77.0333333
01/09/2009 1:12,48.65,1.8333333
1/26/09 6:25,40.04056,-75.27944
1/21/09 16:57,29.76306,-95.36306
01/05/2009 5:33,51.52721,0.14559
1/27/09 5:10,51.5,-0.5833333
01/07/2009 8:00,49.4666667,7.4333333
1/20/09 7:08,40.00639,-75.70361
1/27/09 2:26,33.15667,-94.96806
01/05/2009 6:14,46.2666667,6.25
1/13/09 8:11,29.78556,-95.82417
01/10/2009 9:18,49.2,-2.0333333
01/08/2009 18:52,45.77611,-111.17611
01/12/2009 10:06,51.0833333,-114.0833333
01/01/2009 19:25,43.6666667,-79.4166667
1/27/09 15:28,35.23778,-106.60611
01/02/2009 18:43,51.8986111,-8.4958333
01/08/2009 18:41,40.92528,-73.96333
01/04/2009 18:34,39.11556,-77.56389
1/25/09 8:32,50.0666667,-91.75
1/23/09 22:19,3.1666667,101.7
01/07/2009 10:03,-33.8833333,151.2166667
1/18/09 3:46,-27.9833333,153.3333333
1/28/09 0:40,30.38444,-81.93889
01/02/2009 15:18,52.0166667,0.25
1/18/09 13:59,53.3905556,-6.1216667
1/16/09 9:54,-29.85,31.0166667
1/28/09 7:07,52.4,-1.6333333
1/28/09 7:31,36.7775,-82.94167
1/18/09 12:32,53.3986111,-6.2597222
1/13/09 14:05,41.3833333,2.1833333
1/28/09 7:49,35.0525,-78.87861
1/28/09 3:07,49.2166667,-68.15
01/12/2009 15:16,63.85,-21.3666667
01/06/2009 11:17,38.98222,-94.67056
1/23/09 9:49,43.9333333,-79.5333333
1/24/09 4:01,51.9166667,-0.65
1/25/09 18:21,63.8333333,20.25
1/15/09 10:51,58.8833333,5.6
01/02/2009 5:14,54.5833333,-1.4166667
01/09/2009 10:35,34.6175,-89.96861
01/04/2009 10:16,52.5166667,13.4
01/02/2009 12:16,38.62444,-76.93944
1/28/09 12:31,40.65,-73.95
1/14/09 12:07,44.64972,-93.2425
1/16/09 7:20,46.2333333,6.3166667
01/06/2009 9:55,49.25,-123.1333333
01/07/2009 12:55,41.05333,-73.53917
1/19/09 12:14,53.3005556,-6.2827778
1/13/09 15:19,48.8666667,2.3333333
1/18/09 8:56,42.60722,-83.92944
01/04/2009 17:54,33.03694,-117.29111
01/05/2009 13:46,39.56306,-95.12139
01/05/2009 10:49,21.42556,-157.96083
01/12/2009 18:24,42.9825,-77.40917
1/18/09 4:01,64.83778,-147.71639
1/16/09 10:58,55.4333333,11.5666667
1/13/09 8:20,51.3,-0.05
01/12/2009 1:42,53.55,10
1/28/09 13:07,38.6675,-77.02861
1/29/09 5:43,37.36889,-122.03528
1/29/09 5:30,42.44056,-76.49694
1/13/09 18:08,29.76306,-95.36306
01/09/2009 15:24,42.46444,-83.37639
1/23/09 15:33,40.65,-73.95
1/29/09 12:28,38.99806,-77.28861
1/13/09 11:31,50.8,-1.1333333
1/29/09 10:09,33.50917,-111.89833
